Scheduling parameters include QoS thresholds,<object> Scheduling parameters <relationship> include <object> QoS thresholds.,SchedulingParameters,include,QoSThresholds,
Latency violation rate and QoS thresholds govern when to deploy UPF migrations,<object> Latency violation rate and QoS thresholds <relationship> govern <object> when to deploy UPF migrations.,LatencyViolationRateAndQoSThresholds,govern,WhenToDeployUPFMigrations,
5G-PPP architecture integrates multi-domain orchestration,<object> 5G-PPP architecture <relationship> integrates <object> multi-domain orchestration.,5GPPPArchitecture,integrates,MultiDomainOrchestration,
Multi-domain orchestration is enabled through ETSI NFV-MANO,<object> Multi-domain orchestration <relationship> is enabled through <object> ETSI NFV-MANO.,MultiDomainOrchestration,isEnabledThrough,ETSINFVMANO,
RAN functions are split,<object> RAN functions <relationship> are <object> split.,RANFunctions,are,Split,
Core network topology includes NFVI in core,<object> Core network topology <relationship> includes <object> NFVI in core.,CoreNetworkTopology,includes,NFVIInCore,
CUPS architecture enables independent scaling,<object> CUPS architecture <relationship> enables <object> independent scaling.,CUPSArchitecture,enables,IndependentScaling,
CUPS architecture separates CU-CP from CU-UP,<object> CUPS architecture <relationship> separates <object> CU-CP from CU-UP.,CUPSArchitecture,separates,CUCPFromCUUP,
CUPS architecture uses SMF–UPF control-plane splits,<object> CUPS architecture <relationship> uses <object> SMF–UPF control-plane splits.,CUPSArchitecture,uses,SMFUPFControlPlaneSplits,
Edge deployment of DU ensures low-latency data handling,<object> Edge deployment of DU <relationship> ensures <object> low-latency data handling.,EdgeDeploymentOfDU,ensures,LowLatencyDataHandling,
SDN agents co-locate with domain NFs,<object> SDN agents <relationship> co-locate with <object> domain NFs.,SDNAgents,coLocateWith,DomainNFs,
SDN agents are managed via NFVO/VNFM,<object> SDN agents <relationship> are managed via <object> NFVO/VNFM.,SDNAgents,areManagedVia,NFVOVNFM,
PHY and MAC layers benefit from hardware acceleration at the DU,<object> PHY and MAC layers <relationship> benefit from <object> hardware acceleration at the DU.,PHYAndMACLayers,benefitFrom,HardwareAccelerationAtTheDU,
PDCP/RRC layers benefit from centralized programmability,<object> PDCP/RRC layers <relationship> benefit from <object> centralized programmability.,PDCPRRCLayers,benefitFrom,CentralizedProgrammability,
Application-aware orchestration includes plug-in service managers,<object> Application-aware orchestration <relationship> includes <object> plug-in service managers.,ApplicationAwareOrchestration,includes,PlugInServiceManagers,
Application-aware orchestration includes plug-in function managers,<object> Application-aware orchestration <relationship> includes <object> plug-in function managers.,ApplicationAwareOrchestration,includes,PlugInFunctionManagers,
Plug-in service and function managers are integrated into MANO,<object> Plug-in service and function managers <relationship> are integrated into <object> MANO.,PlugInServiceAndFunctionManagers,areIntegratedInto,MANO,
Kubernetes is used for edge orchestration,<object> Kubernetes <relationship> is used for <object> edge orchestration.,Kubernetes,isUsedFor,EdgeOrchestration,
Native Kubernetes lacks network-aware scheduling,<object> Native Kubernetes <relationship> lacks <object> network-aware scheduling.,NativeKubernetes,lacks,NetworkAwareScheduling,
Native Kubernetes lacks topology-based placement,<object> Native Kubernetes <relationship> lacks <object> topology-based placement.,NativeKubernetes,lacks,TopologyBasedPlacement,
Network-aware scheduling and topology-based placement are essential for edge scenarios,<object> Network-aware scheduling and topology-based placement <relationship> are essential for <object> edge scenarios.,NetworkAwareSchedulingAndTopologyBasedPlacement,areEssentialFor,EdgeScenarios,
Custom edge Kubernetes deployments use virtual kubelets,<object> Custom edge Kubernetes deployments <relationship> use <object> virtual kubelets.,CustomEdgeKubernetesDeployments,use,VirtualKubelets,
Custom edge Kubernetes deployments use multi-cluster federation,<object> Custom edge Kubernetes deployments <relationship> use <object> multi-cluster federation.,CustomEdgeKubernetesDeployments,use,MultiClusterFederation,
Custom edge Kubernetes deployments use custom schedulers,<object> Custom edge Kubernetes deployments <relationship> use <object> custom schedulers.,CustomEdgeKubernetesDeployments,use,CustomSchedulers,
Edge Kubernetes implementations struggle with real-time metric processing,<object> Edge Kubernetes implementations <relationship> struggle with <object> real-time metric processing.,EdgeKubernetesImplementations,struggleWith,RealTimeMetricProcessing,
Edge Kubernetes implementations struggle with fault-tolerance,<object> Edge Kubernetes implementations <relationship> struggle with <object> fault-tolerance.,EdgeKubernetesImplementations,struggleWith,FaultTolerance,
Edge Kubernetes implementations struggle with container registry placement,<object> Edge Kubernetes implementations <relationship> struggle with <object> container registry placement.,EdgeKubernetesImplementations,struggleWith,ContainerRegistryPlacement,
Edge-focused improvements include installing local metrics servers,<object> Edge-focused improvements <relationship> include <object> installing local metrics servers.,EdgeFocusedImprovements,include,InstallingLocalMetricsServers,
Edge-focused improvements include topology-aware custom schedulers,<object> Edge-focused improvements <relationship> include <object> topology-aware custom schedulers.,EdgeFocusedImprovements,include,TopologyAwareCustomSchedulers,
Edge-focused improvements include edge-located container registries,<object> Edge-focused improvements <relationship> include <object> edge-located container registries.,EdgeFocusedImprovements,include,EdgeLocatedContainerRegistries,
Edge orchestration requires decisions based on real-time network measurements,<object> Edge orchestration <relationship> requires <object> decisions based on real-time network measurements.,EdgeOrchestration,requires,DecisionsBasedOnRealTimeNetworkMeasurements,
Placing container registries on edge nodes reduces network usage,<object> Placing container registries on edge nodes <relationship> reduces <object> network usage.,PlacingContainerRegistriesOnEdgeNodes,reduces,NetworkUsage,
Placing container registries on edge nodes speeds up workload deployment,<object> Placing container registries on edge nodes <relationship> speeds up <object> workload deployment.,PlacingContainerRegistriesOnEdgeNodes,speedsUp,WorkloadDeployment,
Virtual kubelets enable edge nodes to publish as Kubernetes nodes,<object> Virtual kubelets <relationship> enable <object> edge nodes to publish as Kubernetes nodes.,VirtualKubelets,enable,EdgeNodesToPublishAsKubernetesNodes,
Virtual kubelets operate without running full control plane components,<object> Virtual kubelets <relationship> operate without <object> running full control plane components.,VirtualKubelets,operateWithout,RunningFullControlPlaneComponents,
Topology-aware scheduling uses knowledge of node network connectivity,<object> Topology-aware scheduling <relationship> uses <object> knowledge of node network connectivity.,TopologyAwareScheduling,uses,KnowledgeOfNodeNetworkConnectivity,
Knowledge of node network connectivity is used to prioritize workload placement,<object> Knowledge of node network connectivity <relationship> is used to prioritize <object> workload placement.,KnowledgeOfNodeNetworkConnectivity,isUsedToPrioritize,WorkloadPlacement,
Container placement spans cloud domain,<object> Container placement <relationship> spans <object> cloud domain.,ContainerPlacement,spans,CloudDomain,
Container placement spans fog domain,<object> Container placement <relationship> spans <object> fog domain.,ContainerPlacement,spans,FogDomain,
Container placement spans edge domain,<object> Container placement <relationship> spans <object> edge domain.,ContainerPlacement,spans,EdgeDomain,
Container placement optimizes resource use,<object> Container placement <relationship> optimizes <object> resource use.,ContainerPlacement,optimizes,ResourceUse,
Container placement optimizes energy consumption,<object> Container placement <relationship> optimizes <object> energy consumption.,ContainerPlacement,optimizes,EnergyConsumption,
Container placement optimizes fault tolerance,<object> Container placement <relationship> optimizes <object> fault tolerance.,ContainerPlacement,optimizes,FaultTolerance,
Migration techniques include cold migration,<object> Migration techniques <relationship> include <object> cold migration.,MigrationTechniques,include,ColdMigration,
Migration techniques include pre-copy migration,<object> Migration techniques <relationship> include <object> pre-copy migration.,MigrationTechniques,include,PreCopyMigration,
Migration techniques include post-copy migration,<object> Migration techniques <relationship> include <object> post-copy migration.,MigrationTechniques,include,PostCopyMigration,
Migration techniques include hybrid migration,<object> Migration techniques <relationship> include <object> hybrid migration.,MigrationTechniques,include,HybridMigration,
Each migration method has different downtime and resource overhead profiles,<object> Each migration method <relationship> has <object> different downtime and resource overhead profiles.,EachMigrationMethod,has,DifferentDowntimeAndResourceOverheadProfiles,
Edge/fog placements consider latency constraints,<object> Edge/fog placements <relationship> consider <object> latency constraints.,EdgeFogPlacements,consider,LatencyConstraints,
Edge/fog placements consider energy constraints,<object> Edge/fog placements <relationship> consider <object> energy constraints.,EdgeFogPlacements,consider,EnergyConstraints,
Edge/fog placements consider resource constraints,<object> Edge/fog placements <relationship> consider <object> resource constraints.,EdgeFogPlacements,consider,ResourceConstraints,
"Latency, energy, and resource constraints are balanced in trade-off-aware optimization","<object> Latency, energy, and resource constraints <relationship> are balanced in <object> trade-off-aware optimization.",LatencyEnergyAndResourceConstraints,areBalancedIn,TradeOffAwareOptimization,
Fault tolerance in edge setups is supported via proactive migrations,<object> Fault tolerance in edge setups <relationship> is supported via <object> proactive migrations.,FaultToleranceInEdgeSetups,isSupportedVia,ProactiveMigrations,
Energy-aware placement utilizes bin-packing,<object> Energy-aware placement <relationship> utilizes <object> bin-packing.,EnergyAwarePlacement,utilizes,BinPacking,
Bin-packing minimizes number of active fog nodes,<object> Bin-packing <relationship> minimizes <object> number of active fog nodes.,BinPacking,minimizes,NumberOfActiveFogNodes,
Minimizing active fog nodes saves power,<object> Minimizing active fog nodes <relationship> saves <object> power.,MinimizingActiveFogNodes,saves,Power,
Placement models often include QoS constraints,<object> Placement models <relationship> often include <object> QoS constraints.,PlacementModels,oftenInclude,QoSConstraints,
QoS constraints are formulated using Mixed Integer Linear Programming (MILP),<object> QoS constraints <relationship> are formulated using <object> Mixed Integer Linear Programming (MILP).,QoSConstraints,areFormulatedUsing,MixedIntegerLinearProgrammingMILP,
"VNF and container placement across cloud, fog, and edge is NP-hard","<object> VNF and container placement across cloud, fog, and edge <relationship> is <object> NP-hard.",VNFAndContainerPlacementAcrossCloudFogAndEdge,is,NPHard,
Edge placements prioritize low latency,<object> Edge placements <relationship> prioritize <object> low latency.,EdgePlacements,prioritize,LowLatency,
Edge placements prioritize energy efficiency,<object> Edge placements <relationship> prioritize <object> energy efficiency.,EdgePlacements,prioritize,EnergyEfficiency,
Edge placements prioritize resource constraints,<object> Edge placements <relationship> prioritize <object> resource constraints.,EdgePlacements,prioritize,ResourceConstraints,
Edge placements prioritize intermittent connectivity,<object> Edge placements <relationship> prioritize <object> intermittent connectivity.,EdgePlacements,prioritize,IntermittentConnectivity,
Multi-objective placement models balance latency,<object> Multi-objective placement models <relationship> balance <object> latency.,MultiObjectivePlacementModels,balance,Latency,
Multi-objective placement models balance energy,<object> Multi-objective placement models <relationship> balance <object> energy.,MultiObjectivePlacementModels,balance,Energy,
Multi-objective placement models balance cost,<object> Multi-objective placement models <relationship> balance <object> cost.,MultiObjectivePlacementModels,balance,Cost,
Multi-objective placement models balance resource use,<object> Multi-objective placement models <relationship> balance <object> resource use.,MultiObjectivePlacementModels,balance,ResourceUse,
Multi-objective placement models balance fault tolerance,<object> Multi-objective placement models <relationship> balance <object> fault tolerance.,MultiObjectivePlacementModels,balance,FaultTolerance,
Multi-objective placement models balance QoS,<object> Multi-objective placement models <relationship> balance <object> QoS.,MultiObjectivePlacementModels,balance,QoS,
Balanced objectives apply to VNFs and containers,<object> Balanced objectives <relationship> apply to <object> VNFs and containers.,BalancedObjectives,applyTo,VNFsAndContainers,
Optimization models include MIQCP (Mixed-Integer Quadratically Constrained Programming),<object> Optimization models <relationship> include <object> MIQCP (Mixed-Integer Quadratically Constrained Programming).,OptimizationModels,include,MIQCPMixedIntegerQuadraticallyConstrainedProgramming,
Optimization models include bin-packing,<object> Optimization models <relationship> include <object> bin-packing.,OptimizationModels,include,BinPacking,
MIQCP and bin-packing address latency constraints,<object> MIQCP and bin-packing <relationship> address <object> latency constraints.,MIQCPAndBinPacking,address,LatencyConstraints,
MIQCP and bin-packing address energy constraints,<object> MIQCP and bin-packing <relationship> address <object> energy constraints.,MIQCPAndBinPacking,address,EnergyConstraints,
Latency and energy constraints are especially relevant in URLLC scenarios,<object> Latency and energy constraints <relationship> are especially relevant in <object> URLLC scenarios.,LatencyAndEnergyConstraints,areEspeciallyRelevantIn,URLLCScenarios,
Dynamic placement systems migrate VNFs/containers proactively,<object> Dynamic placement systems <relationship> migrate <object> VNFs/containers proactively.,DynamicPlacementSystems,migrate,VNFsContainersProactively,
Proactive migration maintains SLAs,<object> Proactive migration <relationship> maintains <object> SLAs.,ProactiveMigration,maintains,SLAs,
Proactive migration responds to changing network states,<object> Proactive migration <relationship> responds to <object> changing network states.,ProactiveMigration,respondsTo,ChangingNetworkStates,
Container placement extends beyond VNFs,<object> Container placement <relationship> extends beyond <object> VNFs.,ContainerPlacement,extendsBeyond,VNFs,
Container placement includes microservices,<object> Container placement <relationship> includes <object> microservices.,ContainerPlacement,includes,Microservices,
Microservices are placed in MEC environments,<object> Microservices <relationship> are placed in <object> MEC environments.,Microservices,arePlacedIn,MECEnvironments,
Kubernetes StatefulSets provide pod identity guarantees,<object> Kubernetes StatefulSets <relationship> provide <object> pod identity guarantees.,KubernetesStatefulSets,provide,PodIdentityGuarantees,
Kubernetes StatefulSets provide pod ordering guarantees,<object> Kubernetes StatefulSets <relationship> provide <object> pod ordering guarantees.,KubernetesStatefulSets,provide,PodOrderingGuarantees,
Pod identity and ordering guarantees support RAN component scaling,<object> Pod identity and ordering guarantees <relationship> support <object> RAN component scaling.,PodIdentityAndOrderingGuarantees,support,RANComponentScaling,
etcd acts as a distributed key-value store,<object> etcd <relationship> acts as <object> distributed key-value store.,etcd,actsAs,DistributedKeyValueStore,
etcd supports dynamic runtime configuration,<object> etcd <relationship> supports <object> dynamic runtime configuration.,etcd,supports,DynamicRuntimeConfiguration,
Doubling the number of BBU–RRH pods linearly increases fronthaul data throughput,<object> Doubling the number of BBU–RRH pods <relationship> linearly increases <object> fronthaul data throughput.,DoublingTheNumberOfBBURRHPods,linearlyIncreases,FronthaulDataThroughput,
Linear increase in fronthaul data throughput is observed in a containerized RAN testbed,<object> Linear increase in fronthaul data throughput <relationship> is observed in <object> containerized RAN testbed.,LinearIncreaseInFronthaulDataThroughput,isObservedIn,ContainerizedRANTestbed,
Container orchestration enables dynamic resource-driven scaling,<object> Container orchestration <relationship> enables <object> dynamic resource-driven scaling.,ContainerOrchestration,enables,DynamicResourceDrivenScaling,
"Resource metrics (CPU, memory) from Kubernetes can trigger scaling actions","<object> Resource metrics (CPU, memory) from Kubernetes <relationship> can trigger <object> scaling actions.",ResourceMetricsCPUMemoryFromKubernetes,canTrigger,ScalingActions,
Scaling actions are based on observed load patterns,<object> Scaling actions <relationship> are based on <object> observed load patterns.,ScalingActions,areBasedOn,ObservedLoadPatterns,
Container-based virtualization (Docker/LXC) in real-time industrial systems incurs latency jitter (≈37–102 ms),<object> Container-based virtualization (Docker/LXC) in real-time industrial systems <relationship> incurs <object> latency jitter (≈37–102 ms).,ContainerBasedVirtualizationDockerLXCInRealTimeIndustrialSystems,incurs,LatencyJitter≈37–102Ms,
Latency jitter poses challenges for hard real-time constraints,<object> Latency jitter <relationship> poses challenges for <object> hard real-time constraints.,LatencyJitter,posesChallengesFor,HardRealTimeConstraints,
Soft real-time deadlines (50–100 ms) are feasible with containers,<object> Soft real-time deadlines (50–100 ms) <relationship> are feasible with <object> containers.,SoftRealTimeDeadlines50–100Ms,areFeasibleWith,Containers,
"Current orchestration platforms (e.g., Kubernetes) lack real-time awareness","<object> Current orchestration platforms (e.g., Kubernetes) <relationship> lack <object> real-time awareness.",CurrentOrchestrationPlatformsEGKubernetes,lack,RealTimeAwareness,
Lack of real-time awareness includes missing scheduling priorities,<object> Lack of real-time awareness <relationship> includes <object> missing scheduling priorities.,LackOfRealTimeAwareness,includes,MissingSchedulingPriorities,
Industrial-grade container platforms need integration of real-time metrics in orchestration controllers,<object> Industrial-grade container platforms <relationship> need <object> integration of real-time metrics in orchestration controllers.,IndustrialGradeContainerPlatforms,need,IntegrationOfRealTimeMetricsInOrchestrationControllers,
Integration of real-time metrics is required to meet strict latency SLAs,<object> Integration of real-time metrics <relationship> is required to meet <object> strict latency SLAs.,IntegrationOfRealTimeMetrics,isRequiredToMeet,StrictLatencySLAs,
Real-time container maturity is still limited,<object> Real-time container maturity <relationship> is <object> still limited.,RealTimeContainerMaturity,is,StillLimited,
Future solution directions include real-time scheduling extensions,<object> Future solution directions <relationship> include <object> real-time scheduling extensions.,FutureSolutionDirections,include,RealTimeSchedulingExtensions,
Future solution directions include metrics-driven orchestration,<object> Future solution directions <relationship> include <object> metrics-driven orchestration.,FutureSolutionDirections,include,MetricsDrivenOrchestration,
Future solution directions include explicit task-level prioritization,<object> Future solution directions <relationship> include <object> explicit task-level prioritization.,FutureSolutionDirections,include,ExplicitTaskLevelPrioritization,
Time-sensitive container requirements demand enhancements,<object> Time-sensitive container requirements <relationship> demand <object> enhancements.,TimeSensitiveContainerRequirements,demand,Enhancements,
Enhancements can be set up at runtime layer,<object> Enhancements <relationship> can be set up at <object> runtime layer.,Enhancements,canBeSetUpAt,RuntimeLayer,
Enhancements can be set up at orchestration layer,<object> Enhancements <relationship> can be set up at <object> orchestration layer.,Enhancements,canBeSetUpAt,OrchestrationLayer,
Runtime layer enhancements include cgroups and RT kernel,<object> Runtime layer enhancements <relationship> include <object> cgroups and RT kernel.,RuntimeLayerEnhancements,include,CGroupsAndRTKernel,
Orchestration layer enhancements include placement,<object> Orchestration layer enhancements <relationship> include <object> placement.,OrchestrationLayerEnhancements,include,Placement,
Control-plane traffic requires a separate IP subnet,<object> Control-plane traffic <relationship> requires <object> separate IP subnet.,ControlPlaneTraffic,requires,SeparateIPSubnet,
User-plane traffic requires a separate IP subnet,<object> User-plane traffic <relationship> requires <object> separate IP subnet.,UserPlaneTraffic,requires,SeparateIPSubnet,
User-plane traffic goes through N3,<object> User-plane traffic <relationship> goes through <object> N3.,UserPlaneTraffic,goesThrough,N3,
Control-plane traffic goes through N2,<object> Control-plane traffic <relationship> goes through <object> N2.,ControlPlaneTraffic,goesThrough,N2,
Separate IP subnets are not required if VLAN is the same,<object> Separate IP subnets <relationship> are not required if <object> VLAN is the same.,SeparateIPSubnets,areNotRequiredIf,VLANIsTheSame,
Edge deployments use dedicated subnets,<object> Edge deployments <relationship> use <object> dedicated subnets.,EdgeDeployments,use,DedicatedSubnets,
Edge deployments use UE IP pools,<object> Edge deployments <relationship> use <object> UE IP pools.,EdgeDeployments,use,UEIPPools,
Dedicated subnets and UE IP pools are allocated via N6 interfaces,<object> Dedicated subnets and UE IP pools <relationship> are allocated via <object> N6 interfaces.,DedicatedSubnetsAndUEIPPools,areAllocatedVia,N6Interfaces,
Firewalls must allow routes between corporate networks and UE subnets,<object> Firewalls <relationship> must allow <object> routes between corporate networks and UE subnets.,Firewalls,mustAllow,RoutesBetweenCorporateNetworksAndUESubnets,
Firewalls must allow port access between corporate networks and UE subnets,<object> Firewalls <relationship> must allow <object> port access between corporate networks and UE subnets.,Firewalls,mustAllow,PortAccessBetweenCorporateNetworksAndUESubnets,
UE subnets are connected via N6 interface,<object> UE subnets <relationship> are connected via <object> N6 interface.,UESubnets,areConnectedVia,N6Interface,
Gateway routers require single static routes per network,<object> Gateway routers <relationship> require <object> single static routes per network.,GatewayRouters,require,SingleStaticRoutesPerNetwork,
Virtual IPs are managed across redundant ASE devices,<object> Virtual IPs <relationship> are managed across <object> redundant ASE devices.,VirtualIPs,areManagedAcross,RedundantASEDevices,
Separate IP pools are needed for access traffic,<object> Separate IP pools <relationship> are needed for <object> access traffic.,SeparateIPPools,areNeededFor,AccessTraffic,
Proper segmentation supports network isolation,<object> Proper segmentation <relationship> supports <object> network isolation.,ProperSegmentation,supports,NetworkIsolation,
IPv6 is preferred in private 5G deployments,<object> IPv6 <relationship> is preferred in <object> private 5G deployments.,IPv6,isPreferredIn,Private5GDeployments,
DHCP is used for dynamic IP assignment,<object> DHCP <relationship> is used for <object> dynamic IP assignment.,DHCP,isUsedFor,DynamicIPAssignment,
RFC 1918 private IPv4 ranges are used to isolate network slices,<object> RFC 1918 private IPv4 ranges <relationship> are used to isolate <object> network slices.,RFC1918PrivateIPv4Ranges,areUsedToIsolate,NetworkSlices,
NAT segmentation across slices enhances isolation,<object> NAT segmentation across slices <relationship> enhances <object> isolation.,NATSegmentationAcrossSlices,enhances,Isolation,
Automated IPAM systems with monitoring are critical for conflict detection,<object> Automated IPAM systems with monitoring <relationship> are <object> critical for conflict detection.,AutomatedIPAMSystemsWithMonitoring,are,CriticalForConflictDetection,
Real-time IPAM alerts aid rogue device detection,<object> Real-time IPAM alerts <relationship> aid <object> rogue device detection.,RealTimeIPAMAlerts,aid,RogueDeviceDetection,
Real-time IPAM alerts prevent IP conflicts,<object> Real-time IPAM alerts <relationship> prevent <object> IP conflicts.,RealTimeIPAMAlerts,prevent,IPConflicts,
Rogue device detection and IP conflict prevention are essential in private 5G,<object> Rogue device detection and IP conflict prevention <relationship> are <object> essential in private 5G environments.,RogueDeviceDetectionAndIPConflictPrevention,are,EssentialInPrivate5GEnvironments,
SMF dynamically assigns IP chunks,<object> SMF <relationship> dynamically assigns <object> IP chunks.,SMF,dynamicallyAssigns,IPChunks,
IP chunks are assigned to UPFs,<object> IP chunks <relationship> are assigned to <object> UPFs.,IPChunks,areAssignedTo,UPFs,
UPFs allocate individual IPs,<object> UPFs <relationship> allocate <object> individual IPs.,UPFs,allocate,IndividualIPs,
Individual IPs are allocated per UE,<object> Individual IPs <relationship> are allocated per <object> UE.,IndividualIPs,areAllocatedPer,UE,
UPFs report IP usage,<object> UPFs <relationship> report <object> IP usage.,UPFs,report,IPUsage,
IP usage is reported to SMF,<object> IP usage <relationship> is reported to <object> SMF.,IPUsage,isReportedTo,SMF,
Optimal chunk size balances even load distribution,<object> Optimal chunk size <relationship> balances <object> even load distribution.,OptimalChunkSize,balances,EvenLoadDistribution,
Optimal chunk size balances IP exhaustion,<object> Optimal chunk size <relationship> balances <object> IP exhaustion.,OptimalChunkSize,balances,IPExhaustion,
Optimal chunk size balances provisioning overhead,<object> Optimal chunk size <relationship> balances <object> provisioning overhead.,OptimalChunkSize,balances,ProvisioningOverhead,
SMF triggers new IP chunk allocations,<object> SMF <relationship> triggers <object> new IP chunk allocations.,SMF,triggers,NewIPChunkAllocations,
New IP chunk allocations are triggered when UPF usage exceeds 70%,<object> New IP chunk allocations <relationship> are triggered when <object> UPF usage exceeds 70%.,NewIPChunkAllocations,areTriggeredWhen,UPFUsageExceeds70%,
SMF reclaims underutilized IP chunks,<object> SMF <relationship> reclaims <object> underutilized IP chunks.,SMF,reclaims,UnderutilizedIPChunks,
Maximum UPFs per chunk-limited pool are determined by pool size ÷ chunk size,<object> Maximum UPFs per chunk-limited pool <relationship> are determined by <object> pool size divided by chunk size.,MaximumUPFsPerChunkLimitedPool,areDeterminedBy,PoolSizeDividedByChunkSize,
DNS-based UPF selection uses TAC,<object> DNS-based UPF selection <relationship> uses <object> TAC.,DNSBasedUPFSelection,uses,TAC,
SMF enforces chunk throttling,<object> SMF <relationship> enforces <object> chunk throttling.,SMF,enforces,ChunkThrottling,
Chunk throttling is based on UPF’s advertised max session capacity,<object> Chunk throttling <relationship> is based on <object> UPF’s advertised maximum session capacity.,ChunkThrottling,isBasedOn,UPFsAdvertisedMaximumSessionCapacity,
Static IP pools are split,<object> Static IP pools <relationship> are <object> split.,StaticIPPools,are,Split,
Static IP pools are distributed to multiple UPFs,<object> Static IP pools <relationship> are distributed to <object> multiple UPFs.,StaticIPPools,areDistributedTo,MultipleUPFs,
DHCP-based IP allocation via UPF requires PFCP N4 integration,<object> DHCP-based IP allocation via UPF <relationship> requires <object> PFCP N4 integration.,DHCPBasedIPAllocationViaUPF,requires,PFCPN4Integration,
Cisco best practice suggests hierarchical subnet design,<object> Cisco best practice <relationship> suggests <object> hierarchical subnet design.,CiscoBestPractice,suggests,HierarchicalSubnetDesign,
Hierarchical subnet design includes Access layer,<object> Hierarchical subnet design <relationship> includes <object> Access layer.,HierarchicalSubnetDesign,includes,AccessLayer,
Subnetting divides IP space into network and host portions,<object> Subnetting <relationship> divides <object> IP space into network and host portions.,Subnetting,divides,IPSpaceIntoNetworkAndHostPortions,
Subnetting ensures address uniqueness,<object> Subnetting <relationship> ensures <object> address uniqueness.,Subnetting,ensures,AddressUniqueness,
Subnetting enables route summarization,<object> Subnetting <relationship> enables <object> route summarization.,Subnetting,enables,RouteSummarization,
VLSM allows subnets of varying sizes within a block,<object> VLSM <relationship> allows <object> subnets of varying sizes within a block.,VLSM,allows,SubnetsOfVaryingSizesWithinABlock,
VLSM is key for allocating optimal address ranges per NF/service,<object> VLSM <relationship> is key for <object> allocating optimal address ranges per NF/service.,VLSM,isKeyFor,AllocatingOptimalAddressRangesPerNFService,
Hierarchical design localizes network changes,<object> Hierarchical design <relationship> localizes <object> network changes.,HierarchicalDesign,localizes,NetworkChanges,
Hierarchical design improves fault isolation,<object> Hierarchical design <relationship> improves <object> fault isolation.,HierarchicalDesign,improves,FaultIsolation,
Hierarchical design reduces routing table size,<object> Hierarchical design <relationship> reduces <object> routing table size.,HierarchicalDesign,reduces,RoutingTableSize,
Typical /28 subnet is used for NF instances,<object> Typical /28 subnet <relationship> is used for <object> NF instances.,Typical28Subnet,isUsedFor,NFInstances,
Hierarchical subnetting enhances scalability,<object> Hierarchical subnetting <relationship> enhances <object> scalability.,HierarchicalSubnetting,enhances,Scalability,
Separated subnets per network plane aid traffic isolation,<object> Separated subnets per network plane <relationship> aid <object> traffic isolation.,SeparatedSubnetsPerNetworkPlane,aid,TrafficIsolation,
Separated subnets per network plane aid QoS policy enforcement,<object> Separated subnets per network plane <relationship> aid <object> QoS policy enforcement.,SeparatedSubnetsPerNetworkPlane,aid,QoSPolicyEnforcement,
Network plane consists of control plane,<object> Network plane <relationship> consists_of <object> control plane.,NetworkPlane,consistsOf,ControlPlane,
Subnet planning for UPFs defines separate IP ranges per interface,<object> Subnet planning for UPFs <relationship> defines <object> separate IP ranges per interface.,SubnetPlanningForUPFs,defines,SeparateIPRangesPerInterface,
Separate IP ranges are assigned for N3 interface,<object> Separate IP ranges <relationship> are assigned for <object> N3 interface.,SeparateIPRanges,areAssignedFor,N3Interface,
UPFs apply DNN-based policy steering,<object> UPFs <relationship> apply <object> DNN-based policy steering.,UPFs,apply,DNNBasedPolicySteering,
UPFs apply slice-based policy steering,<object> UPFs <relationship> apply <object> slice-based policy steering.,UPFs,apply,SliceBasedPolicySteering,
DNN or slice-based steering allows flexible access control across user flows,<object> DNN or slice-based policy steering <relationship> allows <object> flexible access control across user data flows.,DNNOrSliceBasedPolicySteering,allows,FlexibleAccessControlAcrossUserDataFlows,
N3 octet counters (GTP.In/OutDataOctetsN3UPF) measure data volume,<object> N3 octet counters (GTP.In/OutDataOctetsN3UPF) <relationship> measure <object> data volume.,N3OctetCountersGTPInOutDataOctetsN3UPF,measure,DataVolume,
Data volume is measured on the gNB link,<object> Data volume <relationship> is measured on <object> gNB link.,DataVolume,isMeasuredOn,GNBLink,
Packet loss on N3 is captured as GTP.In/OutDataPktLossN3UPF,<object> Packet loss on N3 <relationship> is captured as <object> GTP.In/OutDataPktLossN3UPF.,PacketLossOnN3,isCapturedAs,GTPInOutDataPktLossN3UPF,
Average RTT per DSCP on N3 is measured using GTP.RttDelayN3DlPsaUpfMean.DSCP,<object> Average RTT per DSCP on N3 <relationship> is measured using <object> GTP.RttDelayN3DlPsaUpfMean.DSCP.,AverageRttPerDSCPOnN3,isMeasuredUsing,GTPRttDelayN3DlPsaUpfMeanDSCP,
GTP.RttDelayN3DlPsaUpfMean.DSCP provides microsecond-level latency metrics,<object> GTP.RttDelayN3DlPsaUpfMean.DSCP <relationship> provides <object> microsecond-level latency metrics.,GTPRttDelayN3DlPsaUpfMeanDSCP,provides,MicrosecondLevelLatencyMetrics,
Microsecond-level latency metrics are provided for QoS classes,<object> Microsecond-level latency metrics <relationship> are provided for <object> QoS classes.,MicrosecondLevelLatencyMetrics,areProvidedFor,QoSClasses,
Out-of-order GTP packet counts help detect sequence issues on N3,<object> Out-of-order GTP packet counts (GTP.InDataPktOutOfOrderN3UPF) <relationship> help detect <object> sequence issues on N3.,OutOfOrderGTPPacketCountsGTPInDataPktOutOfOrderN3UPF,helpDetect,SequenceIssuesOnN3,
